timevar,cis,tnt
1,0.9596779942512512,0.969353973865509
2,0.8867539167404175,0.9309701323509216
3,0.8053217530250549,0.8895341753959656
4,0.7264776825904846,0.8463895916938782
5,0.6548169851303101,0.8025454878807068
6,0.5916304588317871,0.7587985992431641
7,0.5366904139518738,0.7157720923423767
8,0.4891703724861145,0.6739393472671509
9,0.44808429479599,0.6336457133293152
10,0.41247856616973877,0.5951286554336548
11,0.3815045952796936,0.5585370659828186
12,0.35443660616874695,0.5239490866661072
13,0.3306657373905182,0.491387277841568
14,0.3096860349178314,0.460832417011261
15,0.29107844829559326,0.43223440647125244
16,0.2744959890842438,0.40552136301994324
17,0.25965067744255066,0.380607008934021
18,0.246197909116745,0.3573962152004242
19,0.2335062474012375,0.3357100188732147
20,0.2210862636566162,0.31511715054512024
21,0.2086443156003952,0.29526668787002563
22,0.19602864980697632,0.2759424149990082
23,0.18319158256053925,0.2570292353630066
24,0.17016130685806274,0.2384868860244751
25,0.15701982378959656,0.22032931447029114
26,0.14388468861579895,0.20260801911354065
27,0.13089363276958466,0.18539808690547943
28,0.11849513649940491,0.16889970004558563
29,0.10778848826885223,0.15365621447563171
30,0.09872163087129593,0.14005476236343384
31,0.09100113064050674,0.1282646507024765
32,0.08439246565103531,0.11825143545866013
33,0.07870747894048691,0.1097060889005661
34,0.07378993183374405,0.10233095288276672
35,0.06949739903211594,0.09589489549398422
36,0.06571363657712936,0.09021718800067902
37,0.06234666332602501,0.08515556156635284
38,0.059323158115148544,0.08059734851121902
39,0.05658424645662308,0.07645277678966522
40,0.05408236384391785,0.07265005260705948
41,0.0517788864672184,0.06913149356842041
42,0.04964229464530945,0.06585066020488739
43,0.04764678329229355,0.06277012079954147
44,0.04577115550637245,0.05986150726675987
45,0.04399798437952995,0.057108476758003235
46,0.04231290891766548,0.05449860170483589
47,0.040704116225242615,0.052020978182554245
48,0.039161887019872665,0.04966598376631737
49,0.03767824172973633,0.04742509871721268
50,0.03624666854739189,0.0452907457947731
51,0.03486184775829315,0.04325615614652634
52,0.03351949527859688,0.04131525754928589
53,0.032216161489486694,0.03946256637573242
54,0.030949098989367485,0.037693124264478683
55,0.029716162011027336,0.036002419888973236
56,0.028515679761767387,0.03438633307814598
57,0.027346855029463768,0.03284107893705368
58,0.026210842654109,0.03136317431926727
59,0.025108909234404564,0.029949398711323738
60,0.024041946977376938,0.02859676070511341
61,0.02301052026450634,0.027302471920847893
62,0.022014915943145752,0.02606392465531826
63,0.021055171266198158,0.024878671392798424
64,0.020131118595600128,0.023744530975818634
65,0.019242409616708755,0.02265987917780876
66,0.018388552591204643,0.0216231606900692
67,0.017568929120898247,0.020632781088352203
68,0.016782816499471664,0.0196871105581522
69,0.016029413789510727,0.01878451183438301
70,0.015307852067053318,0.017923343926668167
71,0.014617216773331165,0.01710197888314724
72,0.013956551440060139,0.016318801790475845
73,0.013324876315891743,0.015572227537631989
74,0.012721196748316288,0.01486070454120636
75,0.012144509702920914,0.014182714745402336
76,0.011593811213970184,0.013536781072616577
77,0.011068103834986687,0.012921471148729324
78,0.010566402226686478,0.0123353973031044
79,0.010087734088301659,0.011777217499911785
80,0.009631146676838398,0.011245639994740486
81,0.009195709601044655,0.010739419609308243
82,0.008780513890087605,0.010257359594106674
83,0.008384679444134235,0.00979831162840128
84,0.008007349446415901,0.009361175820231438
85,0.0076476954855024815,0.00894489698112011
86,0.007304919883608818,0.008548466488718987
87,0.006978250574320555,0.008170920424163342
88,0.006666946224868298,0.007811340037733316
89,0.006370292976498604,0.0074688452295959
90,0.006087605841457844,0.007142598740756512
91,0.005818227771669626,0.006831803359091282
92,0.005561529193073511,0.006535697728395462
93,0.0053169080056250095,0.006253558676689863
94,0.00508378678932786,0.005984696559607983
95,0.004861615598201752,0.005728457123041153
96,0.00464986776933074,0.005484216380864382
97,0.004448041785508394,0.005251382011920214
98,0.0042556575499475,0.005029391497373581
99,0.004072258714586496,0.00481770932674408
100,0.003897410351783037,0.004615827463567257
101,0.0037306970916688442,0.004423263482749462
102,0.003571724519133568,0.004239558707922697
103,0.0034201163798570633,0.004064277745783329
104,0.0032755150459706783,0.0038970073219388723
105,0.0031375798862427473,0.003737355349585414
106,0.0030059872660785913,0.0035849492996931076
107,0.0028804293833673,0.0034394357353448868
108,0.002760613337159157,0.0033004789147526026
109,0.0026462606620043516,0.00316776055842638
110,0.0025371068622916937,0.0030409779865294695
111,0.002432900480926037,0.002919844351708889
112,0.002333402633666992,0.00280408700928092
113,0.0022383860778063536,0.002693447982892394
114,0.0021476352121680975,0.002587681170552969
115,0.0020609451457858086,0.0024865539744496346
116,0.001978120533749461,0.002389844972640276
117,0.0018989768577739596,0.0022973439190536737
118,0.0018233380978927016,0.00220885151065886
119,0.0017510370817035437,0.0021241784561425447
120,0.0016819152515381575,0.002043144777417183
